Part Number,Customer,Sales forecast,date
ECGRX0J221YR,PSIZ/SIT,70000.0,2025-07-01
ECGRX0J221YR,PSIZ/SIT,70000.0,2025-08-01
ECGRX0J221YR,PSIZ/SIT,70000.0,2025-09-01
ECGSX0D221EY,PST/CHTT,0.0,2025-03-01
ECGSX0D221EY,PST/CHTT,0.0,2025-04-01
ECGSX0D221EY,PST/CHTT,0.0,2025-05-01
ECGSX0D221EY,PST/CHTT,0.0,2025-06-01
ECGSX0D221EY,PST/CHTT,0.0,2025-07-01
ECGSX0D221EY,PST/CHTT,0.0,2025-08-01
ECGSX0D221EY,PST/CHTT,0.0,2025-09-01
ECGSX0D221XE,PST/CHTT,21000.0,2025-03-01
ECGSX0D221XE,PST/CHTT,0.0,2025-04-01
ECGSX0D221XE,PST/CHTT,0.0,2025-05-01
ECGSX0D221XE,PST/CHTT,0.0,2025-06-01
ECGSX0D221XE,PST/CHTT,0.0,2025-07-01
ECGSX0D221XE,PST/CHTT,0.0,2025-08-01
ECGSX0D221XE,PST/CHTT,0.0,2025-09-01
ECGSX0D331FR,PST/EDE1,0.0,2025-03-01
ECGSX0D331FR,PST/EDE1,0.0,2025-04-01
ECGSX0D331FR,PST/EDE1,0.0,2025-05-01
ECGSX0D331FR,PST/EDE1,0.0,2025-06-01
ECGSX0D331FR,PST/EDE1,0.0,2025-07-01
ECGSX0D331FR,PST/EDE1,0.0,2025-08-01
ECGSX0D331FR,PST/EDE1,0.0,2025-09-01
ECGSX0D331XE,PSIZ/SU2,490000.0,2025-03-01
ECGSX0D331XE,PST/CHTT,0.0,2025-03-01
ECGSX0D331XE,PSIZ/SU2,1120000.0,2025-04-01
ECGSX0D331XE,PST/CHTT,0.0,2025-04-01
ECGSX0D331XE,PSIZ/SU2,1365000.0,2025-05-01
ECGSX0D331XE,PST/CHTT,0.0,2025-05-01
ECGSX0D331XE,PSIZ/SU2,1505000.0,2025-06-01
ECGSX0D331XE,PST/CHTT,0.0,2025-06-01
ECGSX0D331XE,PSIZ/SU2,1050000.0,2025-07-01
ECGSX0D331XE,PST/CHTT,0.0,2025-07-01
ECGSX0D331XE,PSIZ/SU2,1050000.0,2025-08-01
ECGSX0D331XE,PST/CHTT,0.0,2025-08-01
ECGSX0D331XE,PSIZ/SU2,1050000.0,2025-09-01
ECGSX0D331XE,PST/CHTT,0.0,2025-09-01
ECGSX0D471ER,PSIZ/SU2,0.0,2025-03-01
ECGSX0D471ER,PSIZ/SU2,0.0,2025-04-01
ECGSX0D471ER,PSIZ/SU2,0.0,2025-05-01
ECGSX0D471ER,PSIZ/SU2,0.0,2025-06-01
ECGSX0D471ER,PSIZ/SU2,0.0,2025-07-01
ECGSX0D471ER,PSIZ/SU2,0.0,2025-08-01
ECGSX0D471ER,PSIZ/SU2,0.0,2025-09-01
ECGSX0D471EZ,PST/CHTT,1855000.0,2025-03-01
ECGSX0D471EZ,PST/CHTT,1730000.0,2025-04-01
ECGSX0D471EZ,PST/CHTT,2800000.0,2025-05-01
ECGSX0D471EZ,PST/CHTT,2000000.0,2025-06-01
ECGSX0D471EZ,PST/CHTT,1730000.0,2025-07-01
ECGSX0D471EZ,PST/CHTT,2000000.0,2025-08-01
ECGSX0D471EZ,PST/CHTT,2000000.0,2025-09-01
ECGSX0D471S4,PICS/SSV,0.0,2025-03-01
ECGSX0D471S4,SSI,0.0,2025-03-01
ECGSX0D471S4,PICS/SSV,0.0,2025-04-01
ECGSX0D471S4,SSI,0.0,2025-04-01
ECGSX0D471S4,PICS/SSV,0.0,2025-05-01
ECGSX0D471S4,SSI,0.0,2025-05-01
ECGSX0D471S4,PICS/SSV,0.0,2025-06-01
ECGSX0D471S4,SSI,0.0,2025-06-01
ECGSX0D471S4,PICS/SSV,0.0,2025-07-01
ECGSX0D471S4,SSI,0.0,2025-07-01
ECGSX0D471S4,PICS/SSV,0.0,2025-08-01
ECGSX0D471S4,SSI,0.0,2025-08-01
ECGSX0D471S4,PICS/SSV,0.0,2025-09-01
ECGSX0D471S4,SSI,0.0,2025-09-01
ECGSX0D471XE,PICS/KTC,126000.0,2025-03-01
ECGSX0D471XE,PICS/KTC,112000.0,2025-04-01
ECGSX0D471XE,PICS/KTC,112000.0,2025-05-01
ECGSX0D471XE,PICS/KTC,0.0,2025-06-01
ECGSX0D471XE,PICS/KTC,0.0,2025-07-01
ECGSX0D471XE,PICS/KTC,0.0,2025-08-01
ECGSX0D471XE,PICS/KTC,0.0,2025-09-01
ECGSX0E471E4,PSIZ/SU2,840000.0,2025-03-01
ECGSX0E471E4,PSIZ/SU2,1120000.0,2025-04-01
ECGSX0E471E4,PSIZ/SU2,1358000.0,2025-05-01
ECGSX0E471E4,PSIZ/SU2,1358000.0,2025-06-01
ECGSX0E471E4,PSIZ/SU2,1000000.0,2025-07-01
ECGSX0E471E4,PSIZ/SU2,1000000.0,2025-08-01
ECGSX0E471E4,PSIZ/SU2,1000000.0,2025-09-01
ECGSX0P471S4,PST/ASUP,0.0,2025-03-01
ECGSX0P471S4,PST/HONG,0.0,2025-03-01
ECGSX0P471S4,SMM/SONY,0.0,2025-03-01
ECGSX0P471S4,PST/ASUP,0.0,2025-04-01
ECGSX0P471S4,PST/HONG,0.0,2025-04-01
ECGSX0P471S4,SMM/SONY,0.0,2025-04-01
ECGSX0P471S4,PST/ASUP,0.0,2025-05-01
ECGSX0P471S4,PST/HONG,0.0,2025-05-01
ECGSX0P471S4,SMM/SONY,0.0,2025-05-01
ECGSX0P471S4,PST/ASUP,0.0,2025-06-01
ECGSX0P471S4,PST/HONG,0.0,2025-06-01
ECGSX0P471S4,SMM/SONY,0.0,2025-06-01
ECGSX0P471S4,PST/ASUP,0.0,2025-07-01
ECGSX0P471S4,PST/HONG,0.0,2025-07-01
ECGSX0P471S4,SMM/SONY,0.0,2025-07-01
ECGSX0P471S4,PST/ASUP,0.0,2025-08-01
ECGSX0P471S4,PST/HONG,0.0,2025-08-01
ECGSX0P471S4,SMM/SONY,0.0,2025-08-01
ECGSX0P471S4,PST/ASUP,0.0,2025-09-01
ECGSX0P471S4,PST/HONG,0.0,2025-09-01
ECGSX0P471S4,SMM/SONY,0.0,2025-09-01
EEFCT1C470BR,CALC-MY,0.0,2025-03-01
EEFCT1C470BR,CALC-MY,0.0,2025-04-01
EEFCT1C470BR,CALC-MY,0.0,2025-05-01
EEFCT1C470BR,CALC-MY,0.0,2025-06-01
EEFCT1C470BR,CALC-MY,0.0,2025-07-01
EEFCT1C470BR,CALC-MY,0.0,2025-08-01
EEFCT1C470BR,CALC-MY,0.0,2025-09-01
EEFCT1C470R,PST/QUAC,0.0,2025-03-01
EEFCT1C470R,PST/QUAC,0.0,2025-04-01
EEFCT1C470R,PST/QUAC,0.0,2025-05-01
EEFCT1C470R,PST/QUAC,0.0,2025-06-01
EEFCT1C470R,PST/QUAC,0.0,2025-07-01
EEFCT1C470R,PST/QUAC,0.0,2025-08-01
EEFCT1C470R,PST/QUAC,0.0,2025-09-01
EEFCT1D470R,PSIZ/HW,122500.0,2025-03-01
EEFCT1D470R,PST/CAL,0.0,2025-03-01
EEFCT1D470R,PST/FOXS,0.0,2025-03-01
EEFCT1D470R,PSIZ/HW,0.0,2025-04-01
EEFCT1D470R,PST/CAL,0.0,2025-04-01
EEFCT1D470R,PST/FOXS,0.0,2025-04-01
EEFCT1D470R,PSIZ/HW,0.0,2025-05-01
EEFCT1D470R,PST/CAL,0.0,2025-05-01
EEFCT1D470R,PST/FOXS,0.0,2025-05-01
EEFCT1D470R,PSIZ/HW,35000.0,2025-06-01
EEFCT1D470R,PST/CAL,0.0,2025-06-01
EEFCT1D470R,PST/FOXS,0.0,2025-06-01
EEFCT1D470R,PSIZ/HW,0.0,2025-07-01
EEFCT1D470R,PST/CAL,0.0,2025-07-01
EEFCT1D470R,PST/FOXS,0.0,2025-07-01
EEFCT1D470R,PSIZ/HW,35000.0,2025-08-01
EEFCT1D470R,PST/CAL,0.0,2025-08-01
EEFCT1D470R,PST/FOXS,0.0,2025-08-01
EEFCT1D470R,PSIZ/HW,0.0,2025-09-01
EEFCT1D470R,PST/CAL,0.0,2025-09-01
EEFCT1D470R,PST/FOXS,0.0,2025-09-01
EEFCT1E220R,PICS/WAT,0.0,2025-03-01
EEFCT1E220R,PSIZ/HW,350000.0,2025-03-01
EEFCT1E220R,PST/CHTT,35000.0,2025-03-01
EEFCT1E220R,PST/FOX,0.0,2025-03-01
EEFCT1E220R,PST/PEGA,3500.0,2025-03-01
EEFCT1E220R,PST/QUAC,105000.0,2025-03-01
EEFCT1E220R,PICS/WAT,203000.0,2025-04-01
EEFCT1E220R,PSIZ/HW,0.0,2025-04-01
