Part Number,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09
EEFSX0D331EY,2685000.0,6298500.0,6434461.0,5974444.0,6609432.0,7104355.275,7007682.549
EEFSX0D331KY,420000.0,1360000.0,1733620.0,2013809.0,1517887.0,2696174.4,2892129.5
EEFSX0D331XE,1706500.0,5140500.0,4575797.0,2601216.0,5194478.0,4985861.7144,4062441.54993
EEFSX0D331YR,4450000.0,9810000.0,4429428.0,5830396.0,7921846.0,6803496.5,8207627.0
EEFSX0D471E4,4618000.0,7058500.0,5017791.0,5012338.0,5760905.0,4845160.265,5444690.96
EEFSX0D471ER,955500.0,2646000.0,2434067.0,2755168.0,2447765.0,7448206.499,8460011.046
EEFSX0D471EY,224000.0,245000.0,125917.0,238400.0,239338.0,117374.75,245000.0
EEFSX0D471KR,0.0,0.0,0.0,0.0,0.0,1397.2285,0.0
EEFSX0D471XE,3813000.0,29040000.0,14993183.0,13181734.0,13870433.0,13712391.72568,13643389.25708
EEFSX0D561E4,4007500.0,12763500.0,13286641.0,13020086.0,13261898.0,14162938.18678,12315144.812105
EEFSX0E181ER,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0E221ER,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0E331E4,3500.0,0.0,117092.0,117330.0,0.0,100000.0,100000.0
EEFSX0E331ER,309500.0,994000.0,875321.0,733565.0,672286.0,1126247.85904,1499594.98164
EEFSX0E331EY,4189000.0,5982000.0,4686158.0,3037266.0,4618410.0,4260162.717,4446962.292
EEFSX0E331R,0.0,30000.0,18648.0,0.0,38480.0,20000.0,0.0
EEFSX0E331XE,140000.0,240500.0,242070.0,159044.0,227753.0,291965.653,556601.35027
EEFSX0E471E4,9915500.0,14567500.0,15548527.0,20467218.0,14529656.0,18022613.41574,18219746.57013
EEFSX0E471ER,2082500.0,3234000.0,4537701.0,3806540.0,3172671.0,3312085.7532249996,3843565.178
EEFSX0E471EY,213500.0,252000.0,181308.0,180888.0,251506.0,190420.0,163244.11
EEFSX0E471XE,4386000.0,8922000.0,9073002.0,10577431.0,8698328.0,8723022.004800001,8240812.34764
EEFSX0F331XE,14000.0,21000.0,38684.0,38290.0,19123.0,35000.0,35000.0
EEFSX0G221ER,86000.0,406500.0,369214.0,253637.0,451906.0,318134.04913,321660.986835
EEFSX0G271ER,0.0,0.0,0.0,0.0,0.0,601.27594,0.0
EEFSX0G331ER,0.0,0.0,0.0,0.0,0.0,216.68875,1.1200000000000002e-21
EEFSX0G331EY,0.0,0.0,0.0,0.0,0.0,100935.22,117613.625
EEFSX0G331XE,423500.0,538500.0,390261.0,499549.0,429365.0,514570.595,553690.148
EEFSX0J151ER,3500.0,0.0,2452.0,2473.0,2528.0,6785.508,8373.6455
EEFSX0J181E5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0J181ER,147000.0,77000.0,38500.0,84000.0,66500.0,52500.0,101500.0
EEFSX0J221ER,756000.0,619500.0,906906.0,661614.0,846028.0,796370.271,723573.206
EEFSX0K221QR,406000.0,350000.0,279739.0,228831.0,187958.0,201638.08,214993.03
EEFSX0P561E4,322000.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0P561XE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJCX1A101YR,1102500.0,700000.0,988732.0,869099.0,996308.0,1206284.1,1073173.8
EEJRX0D221KY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJRX0J101R,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJRX0J151R,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJSX0D221EY,14000.0,10500.0,82897.0,9897.0,10244.0,283786.648,330453.506
EEJSX0E331ER,1505000.0,1015000.0,396913.0,764557.0,1495171.0,1470000.0,1470000.0
