date,Part Number,pred,Customer Code
1/4/25,ECGCX0J101R,0,PDG/ANGR
1/4/25,ECGCX0J101R,140000,PDG/SONU
1/4/25,ECGGX0P561SR,19500000,PSI/SAN
1/4/25,ECGGX0P561SR,1400000,PST/ASUP
1/4/25,ECGGX0P561SR,10800000,PST/HONG
1/4/25,ECGGX0P561SR,2500000,SMM/SONY
1/4/25,ECGLR0E181F4,800000,PST/EDE1
1/4/25,ECGLR0E181F4,0,PST/FOXA
1/4/25,ECGLX0D471RZ,0,PST/CHTT
1/4/25,ECGLX0E471RZ,7000,PST/CHTT
1/4/25,ECGRX0J101R,0,PICS/KTC
1/4/25,ECGRX0J101R,0,PSA/GSS
1/4/25,ECGRX0J101R,175000,PSIZ/SIN
1/4/25,ECGRX0J101R,210000,PSIZ/SIT
1/4/25,ECGRX0J221YR,70000,PSIZ/SIT
1/4/25,ECGSX0D221EY,0,PST/CHTT
1/4/25,ECGSX0D221XE,0,PST/CHTT
1/4/25,ECGSX0D331FR,0,PST/EDE1
1/4/25,ECGSX0D331XE,1120000,PSIZ/SU2
1/4/25,ECGSX0D331XE,0,PST/CHTT
1/4/25,ECGSX0D471ER,0,PSIZ/SU2
1/4/25,ECGSX0D471EZ,1730000,PST/CHTT
1/4/25,ECGSX0D471S4,0,PICS/SSV
1/4/25,ECGSX0D471S4,0,SSI
1/4/25,ECGSX0D471XE,112000,PICS/KTC
1/4/25,ECGSX0E471E4,1120000,PSIZ/SU2
1/4/25,ECGSX0P471S4,0,PST/ASUP
1/4/25,ECGSX0P471S4,0,PST/HONG
1/4/25,ECGSX0P471S4,0,SMM/SONY
1/4/25,EEFCT1C470BR,0,CALC-MY
1/4/25,EEFCT1C470R,0,PST/QUAC
1/4/25,EEFCT1D470R,0,PSIZ/HW
1/4/25,EEFCT1D470R,0,PST/CAL
1/4/25,EEFCT1D470R,0,PST/FOXS
1/4/25,EEFCT1E220R,203000,PICS/WAT
1/4/25,EEFCT1E220R,0,PSIZ/HW
1/4/25,EEFCT1E220R,63000,PST/CHTT
1/4/25,EEFCT1E220R,0,PST/FOX
1/4/25,EEFCT1E220R,0,PST/PEGA
1/4/25,EEFCT1E220R,35000,PST/QUAC
1/4/25,EEFCX0D221R,0,PDG/TTIP
1/4/25,EEFCX0D221R,0,PST/ACE
1/4/25,EEFCX0D221YR,0,PST/PEGA
1/4/25,EEFCX0D221YR,0,PST/PODA
1/4/25,EEFCX0D331R,0,PICS/JD
1/4/25,EEFCX0D331R,7000,PST/PODA
1/4/25,EEFCX0E221R,0,PSIZ/HOS
1/4/25,EEFCX0E221R,0,PSIZ/LCS
1/4/25,EEFCX0E221R,0,PST/PODA
1/4/25,EEFCX0E331R,0,PICS/HO2
1/4/25,EEFCX0E331R,0,PICS/LIA
1/4/25,EEFCX0E331R,0,PST/CHTT
1/4/25,EEFCX0E331YR,0,PST/PODA
1/4/25,EEFCX0G151R,3500,PICS/LIA
1/4/25,EEFCX0G151R,0,PSA/CISC
1/4/25,EEFCX0G151R,0,PSI/FLE3
