,variable_name,value
142,"if_make_order_arrive[2,s1,2]",0.0
143,"if_make_order_arrive[2,s1,3]",0.0
144,"if_make_order_arrive[2,s1,4]",0.0
145,"if_make_order_arrive[2,s1,5]",0.008249220344654157
146,"if_make_order_arrive[2,s1,6]",0.0
147,"if_make_order_arrive[2,s1,7]",0.0
148,"if_make_order_arrive[2,s1,8]",0.0
149,"if_make_order_arrive[2,s2,2]",0.0
150,"if_make_order_arrive[2,s2,3]",0.0
151,"if_make_order_arrive[2,s2,4]",0.0
152,"if_make_order_arrive[2,s2,5]",0.12072058546563343
153,"if_make_order_arrive[2,s2,6]",0.0
154,"if_make_order_arrive[2,s2,7]",0.0
155,"if_make_order_arrive[2,s2,8]",0.0
156,"if_make_order_arrive[3,s1,3]",0.0
157,"if_make_order_arrive[3,s1,4]",0.0
158,"if_make_order_arrive[3,s1,5]",0.0
159,"if_make_order_arrive[3,s1,6]",0.11635658458928497
160,"if_make_order_arrive[3,s1,7]",0.004364000876348458
161,"if_make_order_arrive[3,s1,8]",0.0
162,"if_make_order_arrive[3,s2,3]",0.0
163,"if_make_order_arrive[3,s2,4]",0.0
164,"if_make_order_arrive[3,s2,5]",0.0
165,"if_make_order_arrive[3,s2,6]",0.028108991569808665
166,"if_make_order_arrive[3,s2,7]",0.0
167,"if_make_order_arrive[3,s2,8]",0.0
168,"if_make_order_arrive[4,s1,4]",0.0
169,"if_make_order_arrive[4,s1,5]",0.0
170,"if_make_order_arrive[4,s1,6]",0.0
171,"if_make_order_arrive[4,s1,7]",0.0
172,"if_make_order_arrive[4,s1,8]",0.0
173,"if_make_order_arrive[4,s2,4]",0.0
174,"if_make_order_arrive[4,s2,5]",0.0
175,"if_make_order_arrive[4,s2,6]",0.0
176,"if_make_order_arrive[4,s2,7]",0.12072058546563343
177,"if_make_order_arrive[4,s2,8]",0.0
178,"if_make_order_arrive[5,s1,5]",0.0
179,"if_make_order_arrive[5,s1,6]",0.0
180,"if_make_order_arrive[5,s1,7]",0.0
181,"if_make_order_arrive[5,s1,8]",0.11859768982610316
182,"if_make_order_arrive[5,s2,5]",0.0028648938347315815
183,"if_make_order_arrive[5,s2,6]",0.0
184,"if_make_order_arrive[5,s2,7]",0.0
185,"if_make_order_arrive[5,s2,8]",0.0
186,"if_make_order_arrive[6,s1,6]",0.0
187,"if_make_order_arrive[6,s1,7]",0.0
188,"if_make_order_arrive[6,s1,8]",0.0
189,"if_make_order_arrive[6,s2,6]",0.0
